"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[563455] Report(A600AA0[00000])","Entity[563455] Report(A600AA0[00100])", ,"Entity[563455] Report(A600AA0[00300])", ,"Entity[563455] Report(A600AA0[00500])", ,"Entity[563455] Report(A600AA0[00700])", ,"Entity[563455] Report(A600AA0[00900])", , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"5", ,"85", ,"5", ,"2495586", , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"5", ,"38", ,"113", ,"24101", , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"5", ,"609784", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"6", ,"59848", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"7", ,"1677", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"8", ,"25771", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"9", ,"15619", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"10", ,"12000", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"13", ,"7193", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"16", ,"4", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"17", ,"4538", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"21", ,"1775", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"22", ,"1324", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"23", ,"37", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"23", ,"300", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"30", ,"19074", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"31", ,"11241", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"32", ,"4057", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"35", ,"1433", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"35", ,"2985", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"40", ,"453", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"41", ,"1429", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"44", ,"1264", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"50", ,"420562", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"50", ,"15", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"51", ,"1366", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"52", ,"5921", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"53", ,"20152", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"54", ,"59151", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"54", ,"5698", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"54", ,"3711", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"54", ,"21174", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"54", ,"12884", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"55", ,"3980", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"57", ,"12227", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"58", ,"9168", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"59", ,"146738", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"60", ,"151436", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"63", ,"47100", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"64", ,"144106", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"65", ,"17902", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"66", ,"5509", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"68", ,"68", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"69", ,"4969", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"70", ,"14", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"71", ,"34641", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"73", ,"295543", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"74", ,"12054", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"75", ,"7547", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"75", ,"553", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"75", ,"1159", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"75", ,"27362", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"75", ,"262", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"75", ,"954", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"76", ,"259", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"50", ,"75250", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"90", ,"1177", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"90", ,"1280", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"90", ,"4319", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"90", ,"2126", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"90", ,"1268", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"90", ,"1542", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"90", ,"7515", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"90", ,"3693", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"90", ,"2265", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"90", ,"2819", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"90", ,"4336", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"90", ,"379", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"90", ,"4915", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"90", ,"18363", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"90", ,"943", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"90", ,"344", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"90", ,"1503", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"90", ,"4514", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"90", ,"6296", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"90", ,"416", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"90", ,"50", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"90", ,"565", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"90", ,"261", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"90", ,"1004", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"90", ,"3597", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"91", ,"12347", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"95", ,"11017", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"105", ,"126", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"106", ,"20", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"107", ,"18", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"108", ,"668", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"112", ,"7048", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"192", ,"3198", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"194", ,"12486", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"194", ,"1725", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"194", ,"151", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"194", ,"90", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"194", ,"47417", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"194", ,"16189", , , , , , , , , , , , , , 
"UNASSIGNED COST-INVENTORY","AA", ,"194", ,"333", , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 563455"," Report A600AB0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[563455] Report(A600AB0[00000])","Entity[563455] Report(A600AB0[00100])", ,"Entity[563455] Report(A600AB0[00300])", ,"Entity[563455] Report(A600AB0[00500])", ,"Entity[563455] Report(A600AB0[00700])", ,"Entity[563455] Report(A600AB0[00900])", , , , , , , , , , 
"UNASSIGNED COST-BLDG AND REPAIR","AB", ,"6", ,"108975", ,"194", ,"108975", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 563455"," Report A600CC0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[563455] Report(A600CC0[00000])","Entity[563455] Report(A600CC0[00100])", ,"Entity[563455] Report(A600CC0[00300])","Entity[563455] Report(A600CC0[00400])","Entity[563455] Report(A600CC0[00500])", ,"Entity[563455] Report(A600CC0[00700])","Entity[563455] Report(A600CC0[00800])","Entity[563455] Report(A600CC0[00900])", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", ,"5","5019448","917320", ,"21","68633","12543", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", , , , , ,"23","34311","6270", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", , , , , ,"30","21591","3946", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", , , , , ,"35","21591","3946", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", , , , , ,"50","22594","4129", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", , , , , ,"52","9502","1736", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", , , , , ,"54","55469","10137", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", , , , , ,"54","72843","13312", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", , , , , ,"54","145686","26625", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", , , , , ,"59","499530","91291", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", , , , , ,"60","30866","5641", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", , , , , ,"63","83293","15222", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", , , , , ,"64","39323","7186", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", , , , , ,"65","17152","3135", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", , , , , ,"69","768789","140498", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", , , , , ,"70","116517","21294", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", , , , , ,"73","22699","4148", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", , , , , ,"75","32162","5878", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", , , , , ,"75","123110","22499", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", , , , , ,"90","77194","14107", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", , , , , ,"90","61450","11230", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", , , , , ,"90","290436","53078", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", , , , , ,"90","40510","7403", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", , , , , ,"90","110318","20161", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", , , , , ,"90","261814","47847", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", , , , , ,"90","20156","3684", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", , , , , ,"90","37800","6908", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", , , , , ,"90","114247","20879", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", , , , , ,"90","45519","8319", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", , , , , ,"90","49113","8976", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", , , , , ,"90","111406","20360", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", , , , , ,"90","424178","77520", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", , , , , ,"90","289274","52866", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", , , , , ,"90","58564","10703", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", , , , , ,"90","98872","18069", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", , , , , ,"90","256820","46935", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", , , , , ,"90","26475","4838", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", , , , , ,"90","74328","13584", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", , , , , ,"108","49125","8978", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", , , , , ,"109","49125","8978", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", , , , , ,"112","14699","2686", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", , , , , ,"194","34087","6230", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", , , , , ,"194","15646","2859", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", , , , , ,"194","26507","4844", , , , , , , , , , 
"SALARIES TRANSFERRED","CC", , , , , ,"194","196124","35842", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 563455"," Report A600DD0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[563455] Report(A600DD0[00000])","Entity[563455] Report(A600DD0[00100])", ,"Entity[563455] Report(A600DD0[00300])","Entity[563455] Report(A600DD0[00400])","Entity[563455] Report(A600DD0[00500])", ,"Entity[563455] Report(A600DD0[00700])","Entity[563455] Report(A600DD0[00800])","Entity[563455] Report(A600DD0[00900])", , , , , , , , , , 
"LAB ADMINISTRATION","DD", ,"112","18179","11061", ,"60","27367","16651", , , , , , , , , , 
"LAB ADMINISTRATION","DD", ,"194","9188","5590", , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 563455"," Report A600EC0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[563455] Report(A600EC0[00000])","Entity[563455] Report(A600EC0[00100])", ,"Entity[563455] Report(A600EC0[00300])","Entity[563455] Report(A600EC0[00400])","Entity[563455] Report(A600EC0[00500])", ,"Entity[563455] Report(A600EC0[00700])","Entity[563455] Report(A600EC0[00800])","Entity[563455] Report(A600EC0[00900])", , , , , , , , , , 
"ECT RECLASS","EC", ,"50","959069","7690650", ,"76","959069","7690650", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 563455"," Report A600EE0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[563455] Report(A600EE0[00000])","Entity[563455] Report(A600EE0[00100])", ,"Entity[563455] Report(A600EE0[00300])","Entity[563455] Report(A600EE0[00400])","Entity[563455] Report(A600EE0[00500])", ,"Entity[563455] Report(A600EE0[00700])","Entity[563455] Report(A600EE0[00800])","Entity[563455] Report(A600EE0[00900])", , , , , , , , , , 
"ENTERAL FEEDINGS","EE", ,"73","23429","4282", ,"10","86321","615842", , , , , , , , , , 
"ENTERAL FEEDINGS","EE", ,"75","86321","615842", ,"5","23429","4282", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 563455"," Report A600FF0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[563455] Report(A600FF0[00000])","Entity[563455] Report(A600FF0[00100])", ,"Entity[563455] Report(A600FF0[00300])", ,"Entity[563455] Report(A600FF0[00500])", ,"Entity[563455] Report(A600FF0[00700])", ,"Entity[563455] Report(A600FF0[00900])", , , , , , , , , , 
"CLINIC ANESTHESIA NET LOSS RECLASS","FF", ,"194", ,"12104180", ,"53", ,"12104180", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 563455"," Report A600HH0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[563455] Report(A600HH0[00000])","Entity[563455] Report(A600HH0[00100])", ,"Entity[563455] Report(A600HH0[00300])","Entity[563455] Report(A600HH0[00400])","Entity[563455] Report(A600HH0[00500])", ,"Entity[563455] Report(A600HH0[00700])","Entity[563455] Report(A600HH0[00800])","Entity[563455] Report(A600HH0[00900])", , , , , , , , , , 
"PHARMACY DISTRIBUTION DEPT","HH", ,"194","112754","131202", ,"73","112754","131202", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 563455"," Report A600JJ0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[563455] Report(A600JJ0[00000])","Entity[563455] Report(A600JJ0[00100])", ,"Entity[563455] Report(A600JJ0[00300])", ,"Entity[563455] Report(A600JJ0[00500])", ,"Entity[563455] Report(A600JJ0[00700])","Entity[563455] Report(A600JJ0[00800])", , , , , , , , , , , 
"PHYSICIAN BASE SALARY","JJ", ,"5", ,"1504178", ,"5","1504178", , , , , , , , , , , 
"PHYSICIAN BASE SALARY","JJ", ,"17", ,"838308", ,"17","838308", , , , , , , , , , , 
"PHYSICIAN BASE SALARY","JJ", ,"30", ,"111168", ,"30","111168", , , , , , , , , , , 
"PHYSICIAN BASE SALARY","JJ", ,"31", ,"203760", ,"31","203760", , , , , , , , , , , 
"PHYSICIAN BASE SALARY","JJ", ,"32", ,"91092", ,"32","91092", , , , , , , , , , , 
"PHYSICIAN BASE SALARY","JJ", ,"35", ,"25080", ,"35","25080", , , , , , , , , , , 
"PHYSICIAN BASE SALARY","JJ", ,"35", ,"92004", ,"35","92004", , , , , , , , , , , 
"PHYSICIAN BASE SALARY","JJ", ,"40", ,"49668", ,"40","49668", , , , , , , , , , , 
"PHYSICIAN BASE SALARY","JJ", ,"41", ,"83652", ,"41","83652", , , , , , , , , , , 
"PHYSICIAN BASE SALARY","JJ", ,"44", ,"199908", ,"44","199908", , , , , , , , , , , 
"PHYSICIAN BASE SALARY","JJ", ,"50", ,"270660", ,"50","270660", , , , , , , , , , , 
"PHYSICIAN BASE SALARY","JJ", ,"52", ,"78948", ,"52","78948", , , , , , , , , , , 
"PHYSICIAN BASE SALARY","JJ", ,"53", ,"1268676", ,"53","1268676", , , , , , , , , , , 
"PHYSICIAN BASE SALARY","JJ", ,"54", ,"260100", ,"54","260100", , , , , , , , , , , 
"PHYSICIAN BASE SALARY","JJ", ,"54", ,"39660", ,"54","39660", , , , , , , , , , , 
"PHYSICIAN BASE SALARY","JJ", ,"54", ,"20820", ,"54","20820", , , , , , , , , , , 
"PHYSICIAN BASE SALARY","JJ", ,"55", ,"20340", ,"55","20340", , , , , , , , , , , 
"PHYSICIAN BASE SALARY","JJ", ,"59", ,"663958", ,"59","663958", , , , , , , , , , , 
"PHYSICIAN BASE SALARY","JJ", ,"60", ,"447924", ,"60","447924", , , , , , , , , , , 
"PHYSICIAN BASE SALARY","JJ", ,"63", ,"237396", ,"63","237396", , , , , , , , , , , 
"PHYSICIAN BASE SALARY","JJ", ,"66", ,"65153", ,"66","65153", , , , , , , , , , , 
"PHYSICIAN BASE SALARY","JJ", ,"73", ,"25020", ,"73","25020", , , , , , , , , , , 
"PHYSICIAN BASE SALARY","JJ", ,"74", ,"25200", ,"74","25200", , , , , , , , , , , 
"PHYSICIAN BASE SALARY","JJ", ,"75", ,"19824", ,"75","19824", , , , , , , , , , , 
"PHYSICIAN BASE SALARY","JJ", ,"75", ,"79583", ,"75","79583", , , , , , , , , , , 
"PHYSICIAN BASE SALARY","JJ", ,"91", ,"246540", ,"91","246540", , , , , , , , , , , 
"PHYSICIAN BASE SALARY","JJ", ,"105", ,"71076", ,"105","71076", , , , , , , , , , , 
"PHYSICIAN BASE SALARY","JJ", ,"106", ,"104772", ,"106","104772", , , , , , , , , , , 
"PHYSICIAN BASE SALARY","JJ", ,"107", ,"102132", ,"107","102132", , , , , , , , , , , 
"PHYSICIAN BASE SALARY","JJ", ,"108", ,"56280", ,"108","56280", , , , , , , , , , , 
"PHYSICIAN BASE SALARY","JJ", ,"112", ,"37500", ,"112","37500", , , , , , , , , , , 
"PHYSICIAN BASE SALARY","JJ", ,"194", ,"229253", ,"194","229253", , , , , , , , , , , 
"PHYSICIAN BASE SALARY","JJ", ,"194", ,"9300", ,"194","9300", , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 563455"," Report A600KK0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[563455] Report(A600KK0[00000])","Entity[563455] Report(A600KK0[00100])", ,"Entity[563455] Report(A600KK0[00300])", ,"Entity[563455] Report(A600KK0[00500])", ,"Entity[563455] Report(A600KK0[00700])","Entity[563455] Report(A600KK0[00800])", , , , , , , , , , , 
"NURSE PRACTITIONER","KK", ,"35", ,"120099", ,"35","120099", , , , , , , , , , , 
"NURSE PRACTITIONER","KK", ,"35", ,"1804758", ,"35","1804758", , , , , , , , , , , 
"NURSE PRACTITIONER","KK", ,"52", ,"9502", ,"52","9502", , , , , , , , , , , 
"NURSE PRACTITIONER","KK", ,"59", ,"535024", ,"59","535024", , , , , , , , , , , 
"NURSE PRACTITIONER","KK", ,"91", ,"35892", ,"91","35892", , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 563455"," Report A600LL0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[563455] Report(A600LL0[00000])","Entity[563455] Report(A600LL0[00100])", ,"Entity[563455] Report(A600LL0[00300])", ,"Entity[563455] Report(A600LL0[00500])", ,"Entity[563455] Report(A600LL0[00700])", ,"Entity[563455] Report(A600LL0[00900])", , , , , , , , , , 
