"MEDICAL PHYSICS FELLOWSHIP OTHER EXP","AQ", ,"23", ,"140635", ,"55", ,"140635", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A600AR0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A600AR0[00000])","Entity[572875] Report(A600AR0[00100])", ,"Entity[572875] Report(A600AR0[00300])", ,"Entity[572875] Report(A600AR0[00500])", ,"Entity[572875] Report(A600AR0[00700])", ,"Entity[572875] Report(A600AR0[00900])", , , , , , , , , , 
"FRINGE BENEFITS","AR", ,"4", ,"3923649", ,"5", ,"2862", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"5", ,"14706", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"5", ,"54468", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"5", ,"99205", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"5", ,"132689", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"6", ,"71883", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"6", ,"4055", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"6", ,"3995", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"7", ,"2312", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"8", ,"3161", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"9", ,"66362", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"10", ,"75831", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"13", ,"59784", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"14", ,"29416", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"14", ,"4411", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"14", ,"4265", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"15", ,"91068", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"16", ,"24816", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"17", ,"24470", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"18", ,"22249", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"21", ,"346828", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"30", ,"646762", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"31", ,"44184", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"32", ,"27024", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"33", ,"2354", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"34", ,"31974", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"35", ,"99050", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"35", ,"48652", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"40", ,"21624", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"43", ,"20147", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"50", ,"299957", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"51", ,"71154", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"52", ,"40614", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"53", ,"60087", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"54", ,"165343", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"55", ,"72074", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"55", ,"25470", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"57", ,"20676", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"58", ,"24507", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"59", ,"19546", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"60", ,"132993", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"60", ,"2538", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"63", ,"26229", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"65", ,"32735", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"66", ,"67501", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"69", ,"1523", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"69", ,"25857", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"70", ,"17359", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"71", ,"2030", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"74", ,"15776", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"76", ,"24984", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"77", ,"3375", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"90", ,"449896", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"91", ,"111648", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"92", ,"6583", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"94", ,"3323", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"105", ,"18185", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"106", ,"1887", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"107", ,"4545", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"108", ,"1469", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"109", ,"401", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"110", ,"384", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"112", ,"3674", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"190", ,"22660", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"191", ,"20552", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"191", ,"9034", , , , , , , , , , 
"FRINGE BENEFITS","AR", , , , , ,"6", ,"36473", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A600AS0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A600AS0[00000])","Entity[572875] Report(A600AS0[00100])", ,"Entity[572875] Report(A600AS0[00300])", ,"Entity[572875] Report(A600AS0[00500])", ,"Entity[572875] Report(A600AS0[00700])", ,"Entity[572875] Report(A600AS0[00900])", , , , , , , , , , 
"TELEPHONE","AS", ,"5", ,"10103016", ,"4", ,"6973", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"5", ,"1689", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"5", ,"39500", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"5", ,"101781", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"5", ,"589234", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"5", ,"313969", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"6", ,"118231", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"6", ,"10948", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"6", ,"67134", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"6", ,"4378", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"7", ,"14304", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"8", ,"6501", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"9", ,"62434", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"10", ,"70505", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"13", ,"102660", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"14", ,"18180", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"14", ,"20517", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"14", ,"12969", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"15", ,"87189", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"16", ,"59943", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"17", ,"73418", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"18", ,"14259", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"21", ,"800767", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"30", ,"674233", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"31", ,"35165", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"32", ,"15564", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"33", ,"11145", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"34", ,"22349", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"35", ,"91814", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"35", ,"67822", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"40", ,"26013", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"43", ,"7971", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"50", ,"478487", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"51", ,"20230", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"52", ,"25232", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"53", ,"145507", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"54", ,"539122", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"55", ,"295194", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"55", ,"80232", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"57", ,"24662", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"58", ,"41049", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"59", ,"59244", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"60", ,"228528", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"60", ,"3840", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"63", ,"26375", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"65", ,"26486", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"66", ,"125013", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"69", ,"11872", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"69", ,"103805", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"70", ,"44815", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"71", ,"4210", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"74", ,"37461", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"76", ,"100416", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"77", ,"4072", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"90", ,"1549262", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"91", ,"143748", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"92", ,"9670", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"94", ,"8779", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"105", ,"27702", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"106", ,"3354", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"107", ,"4044", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"108", ,"2447", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"109", ,"630", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"112", ,"33537", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"190", ,"52886", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"191", ,"19390", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"191", ,"1926778", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"191", ,"336245", , , , , , , , , , 
"TELEPHONE","AS", , , , , ,"191", ,"9133", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A600AT0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A600AT0[00000])","Entity[572875] Report(A600AT0[00100])", ,"Entity[572875] Report(A600AT0[00300])", ,"Entity[572875] Report(A600AT0[00500])", ,"Entity[572875] Report(A600AT0[00700])", ,"Entity[572875] Report(A600AT0[00900])", , , , , , , , , , 
"BULFINCH TEMPS","AT", ,"4", ,"824338", ,"5", ,"8424", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"5", ,"4491", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"5", ,"16979", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"5", ,"23710", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"6", ,"2546", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"6", ,"811", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"6", ,"707", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"8", ,"3651", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"9", ,"2118", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"10", ,"9206", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"13", ,"2077", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"14", ,"1221", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"14", ,"6736", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"14", ,"3849", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"15", ,"500", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"16", ,"3524", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"21", ,"24492", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"30", ,"105494", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"32", ,"2721", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"34", ,"150", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"35", ,"3311", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"35", ,"244", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"40", ,"8", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"43", ,"88", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"50", ,"12544", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"51", ,"88", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"52", ,"25", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"53", ,"4157", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"54", ,"16733", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"55", ,"8425", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"55", ,"315", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"58", ,"36", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"59", ,"1716", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"60", ,"14131", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"63", ,"2707", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"66", ,"4675", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"69", ,"231", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"69", ,"835", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"70", ,"1415", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"71", ,"44", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"74", ,"764", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"76", ,"4693", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"77", ,"22", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"90", ,"137386", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"91", ,"15463", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"92", ,"514", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"105", ,"4978", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"107", ,"29", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"190", ,"1615", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"191", ,"1159", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"191", ,"296217", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"191", ,"65075", , , , , , , , , , 
"BULFINCH TEMPS","AT", , , , , ,"191", ,"1288", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A600AU0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A600AU0[00000])","Entity[572875] Report(A600AU0[00100])", ,"Entity[572875] Report(A600AU0[00300])", ,"Entity[572875] Report(A600AU0[00500])", ,"Entity[572875] Report(A600AU0[00700])", ,"Entity[572875] Report(A600AU0[00900])", , , , , , , , , , 
"SECURITY","AU", ,"6", ,"255537", ,"4", ,"1620", , , , , , , , , , 
"SECURITY","AU", , , , , ,"5", ,"15500", , , , , , , , , , 
"SECURITY","AU", , , , , ,"5", ,"840", , , , , , , , , , 
"SECURITY","AU", , , , , ,"5", ,"2665", , , , , , , , , , 
"SECURITY","AU", , , , , ,"5", ,"14077", , , , , , , , , , 
"SECURITY","AU", , , , , ,"6", ,"9740", , , , , , , , , , 
"SECURITY","AU", , , , , ,"6", ,"7200", , , , , , , , , , 
"SECURITY","AU", , , , , ,"7", ,"1710", , , , , , , , , , 
"SECURITY","AU", , , , , ,"9", ,"1520", , , , , , , , , , 
"SECURITY","AU", , , , , ,"10", ,"5112", , , , , , , , , , 
"SECURITY","AU", , , , , ,"13", ,"1222", , , , , , , , , , 
"SECURITY","AU", , , , , ,"14", ,"180", , , , , , , , , , 
"SECURITY","AU", , , , , ,"15", ,"5156", , , , , , , , , , 
"SECURITY","AU", , , , , ,"16", ,"180", , , , , , , , , , 
"SECURITY","AU", , , , , ,"21", ,"13236", , , , , , , , , , 
"SECURITY","AU", , , , , ,"30", ,"2300", , , , , , , , , , 
"SECURITY","AU", , , , , ,"35", ,"1447", , , , , , , , , , 
"SECURITY","AU", , , , , ,"35", ,"1160", , , , , , , , , , 
"SECURITY","AU", , , , , ,"40", ,"80", , , , , , , , , , 
"SECURITY","AU", , , , , ,"43", ,"160", , , , , , , , , , 
"SECURITY","AU", , , , , ,"50", ,"400", , , , , , , , , , 
"SECURITY","AU", , , , , ,"51", ,"1817", , , , , , , , , , 
"SECURITY","AU", , , , , ,"54", ,"1080", , , , , , , , , , 
"SECURITY","AU", , , , , ,"55", ,"1327", , , , , , , , , , 
"SECURITY","AU", , , , , ,"55", ,"2517", , , , , , , , , , 
"SECURITY","AU", , , , , ,"57", ,"2647", , , , , , , , , , 
"SECURITY","AU", , , , , ,"59", ,"230", , , , , , , , , , 
"SECURITY","AU", , , , , ,"65", ,"180", , , , , , , , , , 
"SECURITY","AU", , , , , ,"66", ,"9450", , , , , , , , , , 
"SECURITY","AU", , , , , ,"69", ,"360", , , , , , , , , , 
"SECURITY","AU", , , , , ,"76", ,"1238", , , , , , , , , , 
"SECURITY","AU", , , , , ,"90", ,"26624", , , , , , , , , , 
"SECURITY","AU", , , , , ,"91", ,"640", , , , , , , , , , 
"SECURITY","AU", , , , , ,"105", ,"540", , , , , , , , , , 
"SECURITY","AU", , , , , ,"190", ,"4766", , , , , , , , , , 
"SECURITY","AU", , , , , ,"191", ,"720", , , , , , , , , , 
"SECURITY","AU", , , , , ,"191", ,"14528", , , , , , , , , , 
"SECURITY","AU", , , , , ,"191", ,"101368", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572875"," Report A600AV0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572875] Report(A600AV0[00000])","Entity[572875] Report(A600AV0[00100])", ,"Entity[572875] Report(A600AV0[00300])", ,"Entity[572875] Report(A600AV0[00500])", ,"Entity[572875] Report(A600AV0[00700])", ,"Entity[572875] Report(A600AV0[00900])", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", ,"190", ,"2112736", ,"4", ,"378750", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"5", ,"1496", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"5", ,"6488", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"5", ,"24790", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"5", ,"167020", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"6", ,"227", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"6", ,"229", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"6", ,"1884", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"7", ,"409", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"8", ,"74", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"9", ,"17855", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"10", ,"14872", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"13", ,"33355", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"14", ,"393", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"14", ,"1121", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"14", ,"784", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"15", ,"2006", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"16", ,"3750", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"17", ,"344", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"18", ,"231", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"21", ,"95125", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"30", ,"11832", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"31", ,"9193", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"32", ,"1343", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"33", ,"44", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"34", ,"1797", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"35", ,"5295", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"35", ,"1688", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"40", ,"1254", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"43", ,"165", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"50", ,"23437", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"51", ,"42872", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"52", ,"1679", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"53", ,"3219", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"54", ,"44360", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"55", ,"10873", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"55", ,"387", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"57", ,"1201", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"58", ,"49198", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"59", ,"12522", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"60", ,"12310", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"63", ,"63635", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"65", ,"374", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"66", ,"9847", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"69", ,"236", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"69", ,"6575", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"70", ,"3986", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"71", ,"725", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"74", ,"994", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"76", ,"1970", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"77", ,"171", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"90", ,"45803", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"91", ,"3990", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"92", ,"972", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"94", ,"389", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"105", ,"231", , , , , , , , , , 
"NONALLOWABLE EXPENSE","AV", , , , , ,"112", ,"1264", , , , , , , , , , 
