"----------"," Entity 558727"," Report A000000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"SUPPLIES","G", , , , , ,"65", ,"3927867", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"66", ,"742693", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"67", ,"91917", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"68", ,"2184878", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"69", ,"62995", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"70", ,"300580", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"71", ,"166263", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"74", ,"2105644", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"76", ,"98462", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"76", ,"6637522", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"76", ,"23438", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"76", ,"5369883", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"76", ,"492144", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"77", ,"3407", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"90", ,"92095", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"90", ,"1611789", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"90", ,"6731", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"90", ,"805", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"90", ,"119", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"90", ,"55402", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"90", ,"272780", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"90", ,"65721", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"90", ,"935", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"90", ,"6651", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"90", ,"9121", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"90", ,"22335", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"90", ,"17305", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"90", ,"101433", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"90", ,"44617", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"90", ,"19307", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"90", ,"802", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"90", ,"2816", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"90", ,"21037", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"91", ,"3033599", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"94", ,"1885488", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"95", ,"262589", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"101", ,"329700", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"105", ,"223237", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"106", ,"86", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"108", ,"18", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"112", ,"13488", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"191", ,"335830", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"191", ,"35679", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"191", ,"11415", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"192", ,"185975", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"192", ,"23985", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"192", ,"92678", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"192", ,"5518", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"192", ,"4699", , , , , , , , , , 
"SUPPLIES","G", , , , , ,"90", ,"5292", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 558727"," Report A6000H0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[558727] Report(A6000H0[00000])","Entity[558727] Report(A6000H0[00100])", ,"Entity[558727] Report(A6000H0[00300])", ,"Entity[558727] Report(A6000H0[00500])", ,"Entity[558727] Report(A6000H0[00700])", ,"Entity[558727] Report(A6000H0[00900])", , , , , , , , , , 
"BILLABLE SUPPLIES","H", ,"71", ,"94761131", ,"14", ,"94761131", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 558727"," Report A6000I0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[558727] Report(A6000I0[00000])","Entity[558727] Report(A6000I0[00100])", ,"Entity[558727] Report(A6000I0[00300])", ,"Entity[558727] Report(A6000I0[00500])", ,"Entity[558727] Report(A6000I0[00700])", ,"Entity[558727] Report(A6000I0[00900])", , , , , , , , , , 
"IMPLANTABLE SUPPLIES","I", ,"72", ,"60197532", ,"71", ,"60197532", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 558727"," Report A6000J0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[558727] Report(A6000J0[00000])","Entity[558727] Report(A6000J0[00100])", ,"Entity[558727] Report(A6000J0[00300])","Entity[558727] Report(A6000J0[00400])","Entity[558727] Report(A6000J0[00500])", ,"Entity[558727] Report(A6000J0[00700])","Entity[558727] Report(A6000J0[00800])","Entity[558727] Report(A6000J0[00900])", , , , , , , , , , 
"SLEEP LAB","J", ,"90","2099214","866117", ,"101","2099214","866117", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 558727"," Report A6000K0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[558727] Report(A6000K0[00000])","Entity[558727] Report(A6000K0[00100])", ,"Entity[558727] Report(A6000K0[00300])","Entity[558727] Report(A6000K0[00400])","Entity[558727] Report(A6000K0[00500])", ,"Entity[558727] Report(A6000K0[00700])","Entity[558727] Report(A6000K0[00800])","Entity[558727] Report(A6000K0[00900])", , , , , , , , , , 
"HOSPICE","K", ,"116","3709354","1978958", ,"101","3709354","1978958", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 558727"," Report A6000L0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[558727] Report(A6000L0[00000])","Entity[558727] Report(A6000L0[00100])", ,"Entity[558727] Report(A6000L0[00300])","Entity[558727] Report(A6000L0[00400])","Entity[558727] Report(A6000L0[00500])", ,"Entity[558727] Report(A6000L0[00700])","Entity[558727] Report(A6000L0[00800])","Entity[558727] Report(A6000L0[00900])", , , , , , , , , , 
"NURSERY & L&D","L", ,"43","1394916","145030", ,"30","8387806","933250", , , , , , , , , , 
"NURSERY & L&D","L", ,"52","6992890","788220", , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 558727"," Report A6000M0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[558727] Report(A6000M0[00000])","Entity[558727] Report(A6000M0[00100])", ,"Entity[558727] Report(A6000M0[00300])","Entity[558727] Report(A6000M0[00400])","Entity[558727] Report(A6000M0[00500])", ,"Entity[558727] Report(A6000M0[00700])","Entity[558727] Report(A6000M0[00800])","Entity[558727] Report(A6000M0[00900])", , , , , , , , , , 
"PARAMED ED","M", ,"23","562758","43051", ,"54","562758","43051", , , , , , , , , , 
"PARAMED ED","M", ,"23","525044","40166", ,"15","515649","39447", , , , , , , , , , 
"PARAMED ED","M", ,"23","39331","3009", ,"90","2907","222", , , , , , , , , , 
"PARAMED ED","M", ,"23","250918","19195", ,"91","6488","496", , , , , , , , , , 
"PARAMED ED","M", ,"23","27298","2088", ,"15","15788","1208", , , , , , , , , , 
"PARAMED ED","M", ,"23","88052","6736", ,"73","17903","1370", , , , , , , , , , 
"PARAMED ED","M", , , , , ,"101","5640","431", , , , , , , , , , 
"PARAMED ED","M", , , , , ,"60","221930","16978", , , , , , , , , , 
"PARAMED ED","M", , , , , ,"63","28988","2218", , , , , , , , , , 
"PARAMED ED","M", , , , , ,"5","960","73", , , , , , , , , , 
"PARAMED ED","M", , , , , ,"65","80","6", , , , , , , , , , 
"PARAMED ED","M", , , , , ,"91","26258","2009", , , , , , , , , , 
"PARAMED ED","M", , , , , ,"50","88052","6736", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 558727"," Report A6000N0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[558727] Report(A6000N0[00000])","Entity[558727] Report(A6000N0[00100])", ,"Entity[558727] Report(A6000N0[00300])", ,"Entity[558727] Report(A6000N0[00500])", ,"Entity[558727] Report(A6000N0[00700])", ,"Entity[558727] Report(A6000N0[00900])", , , , , , , , , , 
"PTO ALLOCATION","N", ,"4", ,"7935292", ,"5", ,"253229", , , , , , , , , , 
"PTO ALLOCATION","N", ,"101", ,"90324", ,"7", ,"35310", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"10", ,"121588", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"13", ,"232095", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"14", ,"40350", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"15", ,"411231", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"16", ,"5626", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"17", ,"66417", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"18", ,"30984", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"22", ,"8038", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"23", ,"1496", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"23", ,"4418", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"23", ,"5614", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"23", ,"2910", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"23", ,"8270", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"23", ,"3357", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"23", ,"6767", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"23", ,"2006", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"23", ,"2935", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"30", ,"2088222", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"31", ,"229543", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"32", ,"172735", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"32", ,"68531", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"33", ,"20854", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"34", ,"65259", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"34", ,"130893", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"34", ,"28596", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"34", ,"21492", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"40", ,"52945", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"43", ,"34901", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"50", ,"459528", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"50", ,"18838", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"51", ,"82893", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"53", ,"21450", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"53", ,"37277", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"54", ,"354419", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"55", ,"55334", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"56", ,"12560", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"60", ,"441720", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"60", ,"14112", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"60", ,"15009", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"63", ,"47528", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"65", ,"296423", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"66", ,"147444", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"67", ,"33181", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"68", ,"50422", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"69", ,"40360", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"70", ,"74806", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"71", ,"3560", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"73", ,"117157", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"74", ,"102705", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"76", ,"7821", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"76", ,"34019", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"76", ,"2214", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"76", ,"70359", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"76", ,"59306", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"77", ,"3311", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"90", ,"34227", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"90", ,"228713", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"90", ,"3037", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"90", ,"5878", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"90", ,"29965", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"90", ,"58762", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"90", ,"1761", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"90", ,"15", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"90", ,"3456", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"90", ,"1004", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"90", ,"12435", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"90", ,"8779", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"90", ,"7691", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"90", ,"6316", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"90", ,"2843", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"90", ,"11652", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"91", ,"279657", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"94", ,"13363", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"95", ,"100716", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"105", ,"80461", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"106", ,"7596", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"107", ,"15135", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"108", ,"9563", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"109", ,"4805", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"110", ,"4066", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"112", ,"3118", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"191", ,"40198", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"191", ,"23343", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"192", ,"2406", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"192", ,"101553", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"192", ,"64208", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"192", ,"1509", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"192", ,"1092", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"192", ,"2140", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"192", ,"67635", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"192", ,"435", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"192", ,"9067", , , , , , , , , , 
"PTO ALLOCATION","N", , , , , ,"90", ,"16648", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 558727"," Report A6000O0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[558727] Report(A6000O0[00000])","Entity[558727] Report(A6000O0[00100])", ,"Entity[558727] Report(A6000O0[00300])","Entity[558727] Report(A6000O0[00400])","Entity[558727] Report(A6000O0[00500])", ,"Entity[558727] Report(A6000O0[00700])","Entity[558727] Report(A6000O0[00800])","Entity[558727] Report(A6000O0[00900])", , , , , , , , , , 
"RENAL ADMIN","O", ,"94","135057","15484", ,"74","135057","15484", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 558727"," Report A6000P0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[558727] Report(A6000P0[00000])","Entity[558727] Report(A6000P0[00100])", ,"Entity[558727] Report(A6000P0[00300])", ,"Entity[558727] Report(A6000P0[00500])", ,"Entity[558727] Report(A6000P0[00700])", ,"Entity[558727] Report(A6000P0[00900])", , , , , , , , , , 
"PHONES","P", ,"5", ,"69125", ,"10", ,"1239", , , , , , , , , , 
"PHONES","P", ,"60", ,"2264", ,"30", ,"6699", , , , , , , , , , 
"PHONES","P", , , , , ,"50", ,"4574", , , , , , , , , , 
"PHONES","P", , , , , ,"53", ,"330", , , , , , , , , , 
"PHONES","P", , , , , ,"54", ,"2500", , , , , , , , , , 
"PHONES","P", , , , , ,"66", ,"197", , , , , , , , , , 
"PHONES","P", , , , , ,"68", ,"198", , , , , , , , , , 
"PHONES","P", , , , , ,"73", ,"82", , , , , , , , , , 
"PHONES","P", , , , , ,"76", ,"8452", , , , , , , , , , 
"PHONES","P", , , , , ,"90", ,"1112", , , , , , , , , , 
"PHONES","P", , , , , ,"90", ,"30415", , , , , , , , , , 
"PHONES","P", , , , , ,"90", ,"36", , , , , , , , , , 
"PHONES","P", , , , , ,"90", ,"710", , , , , , , , , , 
"PHONES","P", , , , , ,"91", ,"7275", , , , , , , , , , 
"PHONES","P", , , , , ,"95", ,"47", , , , , , , , , , 
"PHONES","P", , , , , ,"101", ,"2047", , , , , , , , , , 
"PHONES","P", , , , , ,"105", ,"378", , , , , , , , , , 
"PHONES","P", , , , , ,"107", ,"378", , , , , , , , , , 
"PHONES","P", , , , , ,"192", ,"4720", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 558727"," Report A6000Q0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[558727] Report(A6000Q0[00000])","Entity[558727] Report(A6000Q0[00100])", ,"Entity[558727] Report(A6000Q0[00300])","Entity[558727] Report(A6000Q0[00400])","Entity[558727] Report(A6000Q0[00500])", ,"Entity[558727] Report(A6000Q0[00700])","Entity[558727] Report(A6000Q0[00800])","Entity[558727] Report(A6000Q0[00900])", , , , , , , , , , 
"FQHC NON-REIMBURSABLE","Q", ,"192","26360","54431", ,"89","26360","54431", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 558727"," Report A6000R0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[558727] Report(A6000R0[00000])","Entity[558727] Report(A6000R0[00100])", ,"Entity[558727] Report(A6000R0[00300])","Entity[558727] Report(A6000R0[00400])","Entity[558727] Report(A6000R0[00500])", ,"Entity[558727] Report(A6000R0[00700])","Entity[558727] Report(A6000R0[00800])","Entity[558727] Report(A6000R0[00900])", , , , , , , , , , 
"ORGANS","R", ,"108","238438","53655", ,"105","1202367","279891", , , , , , , , , , 
"ORGANS","R", ,"107","636687","136139", , , , , , , , , , , , , , 
"ORGANS","R", ,"106","149142","32470", , , , , , , , , , , , , , 
"ORGANS","R", ,"109","2960","31315", , , , , , , , , , , , , , 
"ORGANS","R", ,"110","175140","26312", , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 558727"," Report A6000S0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[558727] Report(A6000S0[00000])","Entity[558727] Report(A6000S0[00100])", ,"Entity[558727] Report(A6000S0[00300])","Entity[558727] Report(A6000S0[00400])","Entity[558727] Report(A6000S0[00500])", ,"Entity[558727] Report(A6000S0[00700])","Entity[558727] Report(A6000S0[00800])","Entity[558727] Report(A6000S0[00900])", , , , , , , , , , 
"PRE-POST TRANSPLANT","S", ,"112","3304931","435432", ,"108","467256","60221", , , , , , , , , , 
"PRE-POST TRANSPLANT","S", , , , , ,"105","1133981","164873", , , , , , , , , , 
"PRE-POST TRANSPLANT","S", , , , , ,"107","918163","113764", , , , , , , , , , 
"PRE-POST TRANSPLANT","S", , , , , ,"106","421640","51062", , , , , , , , , , 
"PRE-POST TRANSPLANT","S", , , , , ,"109","100455","17609", , , , , , , , , , 
"PRE-POST TRANSPLANT","S", , , , , ,"110","263436","27903", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 558727"," Report A6000T0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[558727] Report(A6000T0[00000])","Entity[558727] Report(A6000T0[00100])", ,"Entity[558727] Report(A6000T0[00300])", ,"Entity[558727] Report(A6000T0[00500])", ,"Entity[558727] Report(A6000T0[00700])", ,"Entity[558727] Report(A6000T0[00900])", , , , , , , , , , 
