"----------"," Entity 562588"," Report A000000 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"76", ,"36026", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"90", ,"19815975", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"90", ,"1095789", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"90", ,"311957", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"90", ,"836316", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"90", ,"721958", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"90", ,"220295", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"90", ,"287702", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"90", ,"158074", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"90", ,"180110", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"90", ,"174045", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"90", ,"208653", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"90", ,"250855", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"90", ,"34066", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"90", ,"173263", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"90", ,"3323780", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"90", ,"201891", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"90", ,"163906", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"90", ,"2320121", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"90", ,"446661", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"90", ,"1256278", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"91", ,"3328107", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"91", ,"729533", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"94", ,"51876", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"101", ,"677111", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"101", ,"340124", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"105", ,"303279", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"106", ,"74996", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"112", ,"23346", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"116", ,"539902", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"116", ,"199629", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"190", ,"20790", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"190", ,"8767", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"191", ,"1427020", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"191", ,"566802", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"194", ,"84727", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"194", ,"1240491", , , , , , , , , , 
"EMPLOYEE BENEFITS","E", , , , , ,"23", ,"11165", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 562588"," Report A6000F0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[562588] Report(A6000F0[00000])","Entity[562588] Report(A6000F0[00100])", ,"Entity[562588] Report(A6000F0[00300])","Entity[562588] Report(A6000F0[00400])", , ,"Entity[562588] Report(A6000F0[00700])", ,"Entity[562588] Report(A6000F0[00900])", , , , , , , , , , 
"PTO EXPENSE","F", ,"5","2722281", , ,"4", ,"2722281", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 562588"," Report A6000G0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[562588] Report(A6000G0[00000])","Entity[562588] Report(A6000G0[00100])", ,"Entity[562588] Report(A6000G0[00300])", ,"Entity[562588] Report(A6000G0[00500])", ,"Entity[562588] Report(A6000G0[00700])", ,"Entity[562588] Report(A6000G0[00900])", , , , , , , , , , 
"TELEPHONE EXPENSE","G", ,"7", ,"342717", ,"4", ,"27", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"5", ,"54672", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"9", ,"2646", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"10", ,"241", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"10", ,"104", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"13", ,"10815", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"13", ,"1599", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"15", ,"715", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"15", ,"11", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"17", ,"1256", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"21", ,"28", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"22", ,"817", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"31", ,"95", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"50", ,"1232", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"52", ,"558", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"53", ,"743", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"54", ,"781", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"55", ,"127", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"59", ,"3", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"60", ,"18313", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"60", ,"13699", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"63", ,"2524", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"70", ,"1843", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"74", ,"1300", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"90", ,"51142", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"90", ,"1098", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"90", ,"76", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"90", ,"109", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"90", ,"723", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"90", ,"114", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"90", ,"3475", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"90", ,"3161", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"90", ,"8903", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"90", ,"8463", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"90", ,"4305", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"91", ,"1118", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"101", ,"58463", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"101", ,"21792", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"105", ,"1986", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"106", ,"2052", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"116", ,"33563", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"116", ,"23991", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"191", ,"2236", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"191", ,"717", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"191", ,"72", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"194", ,"981", , , , , , , , , , 
"TELEPHONE EXPENSE","G", , , , , ,"194", ,"28", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 562588"," Report A6000H0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[562588] Report(A6000H0[00000])","Entity[562588] Report(A6000H0[00100])", ,"Entity[562588] Report(A6000H0[00300])", ,"Entity[562588] Report(A6000H0[00500])", ,"Entity[562588] Report(A6000H0[00700])", ,"Entity[562588] Report(A6000H0[00900])", , , , , , , , , , 
"REFERRAL LAB","H", ,"194", ,"738761", ,"60", ,"738761", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 562588"," Report A6000I0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[562588] Report(A6000I0[00000])","Entity[562588] Report(A6000I0[00100])", ,"Entity[562588] Report(A6000I0[00300])", ,"Entity[562588] Report(A6000I0[00500])", ,"Entity[562588] Report(A6000I0[00700])", ,"Entity[562588] Report(A6000I0[00900])", , , , , , , , , , 
"MEDICAL SUPPLIES","I", ,"8", ,"2210", ,"5", ,"622206", , , , , , , , , , 
"MEDICAL SUPPLIES","I", ,"71", ,"40444474", ,"7", ,"19786", , , , , , , , , , 
"MEDICAL SUPPLIES","I", ,"71", ,"2112521", ,"8", ,"1516", , , , , , , , , , 
"MEDICAL SUPPLIES","I", ,"90", ,"818", ,"9", ,"38455", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"9", ,"17237", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"10", ,"10062", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"10", ,"3502", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"13", ,"5724", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"14", ,"721199", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"14", ,"27479", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"15", ,"143003", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"15", ,"684321", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"18", ,"63320", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"21", ,"6225", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"22", ,"11040", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"23", ,"4509", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"30", ,"2082825", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"31", ,"1370319", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"31", ,"419442", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"31", ,"189312", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"40", ,"152984", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"43", ,"1875", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"44", ,"179130", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"50", ,"6936030", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"50", ,"260417", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"52", ,"293079", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"53", ,"1593344", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"53", ,"213340", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"54", ,"4058607", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"54", ,"42931", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"55", ,"72236", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"56", ,"7309", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"57", ,"288049", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"57", ,"2645", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"58", ,"357861", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"58", ,"35168", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"59", ,"1775620", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"60", ,"1904701", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"60", ,"2778501", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"60", ,"164677", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"60", ,"169062", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"63", ,"2342165", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"64", ,"143731", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"65", ,"936350", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"65", ,"18118", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"65", ,"113418", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"66", ,"1144916", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"66", ,"1172", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"67", ,"21873", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"68", ,"7284", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"68", ,"459415", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"68", ,"90", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"69", ,"43417", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"70", ,"73363", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"74", ,"1228493", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"90", ,"4669491", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"90", ,"43071", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"90", ,"35966", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"90", ,"109861", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"90", ,"29279", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"90", ,"12312", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"90", ,"49006", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"90", ,"4019", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"90", ,"14856", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"90", ,"127527", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"90", ,"15085", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"90", ,"2684", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"90", ,"3628", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"90", ,"403693", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"90", ,"8776", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"90", ,"4493", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"90", ,"352180", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"90", ,"27973", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"90", ,"81083", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"91", ,"730170", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"91", ,"258094", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"94", ,"218449", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"101", ,"163849", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"101", ,"47182", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"105", ,"17464", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"106", ,"10", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"116", ,"119198", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"116", ,"35305", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"190", ,"6800", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"191", ,"680210", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"191", ,"664", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"191", ,"596", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"194", ,"22982", , , , , , , , , , 
"MEDICAL SUPPLIES","I", , , , , ,"194", ,"1214", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 562588"," Report A6000J0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[562588] Report(A6000J0[00000])","Entity[562588] Report(A6000J0[00100])", ,"Entity[562588] Report(A6000J0[00300])", ,"Entity[562588] Report(A6000J0[00500])", ,"Entity[562588] Report(A6000J0[00700])", ,"Entity[562588] Report(A6000J0[00900])", , , , , , , , , , 
"IMPLANTABLE DEVICES","J", ,"72", ,"24585466", ,"5", ,"17474", , , , , , , , , , 
"IMPLANTABLE DEVICES","J", ,"72", ,"882259", ,"14", ,"371418", , , , , , , , , , 
"IMPLANTABLE DEVICES","J", , , , , ,"30", ,"11658", , , , , , , , , , 
"IMPLANTABLE DEVICES","J", , , , , ,"31", ,"6920", , , , , , , , , , 
"IMPLANTABLE DEVICES","J", , , , , ,"40", ,"2353", , , , , , , , , , 
"IMPLANTABLE DEVICES","J", , , , , ,"50", ,"2415538", , , , , , , , , , 
"IMPLANTABLE DEVICES","J", , , , , ,"50", ,"79", , , , , , , , , , 
"IMPLANTABLE DEVICES","J", , , , , ,"53", ,"44282", , , , , , , , , , 
"IMPLANTABLE DEVICES","J", , , , , ,"53", ,"239", , , , , , , , , , 
"IMPLANTABLE DEVICES","J", , , , , ,"54", ,"1273495", , , , , , , , , , 
"IMPLANTABLE DEVICES","J", , , , , ,"54", ,"16044", , , , , , , , , , 
"IMPLANTABLE DEVICES","J", , , , , ,"55", ,"770877", , , , , , , , , , 
"IMPLANTABLE DEVICES","J", , , , , ,"57", ,"43", , , , , , , , , , 
"IMPLANTABLE DEVICES","J", , , , , ,"57", ,"82", , , , , , , , , , 
"IMPLANTABLE DEVICES","J", , , , , ,"58", ,"270", , , , , , , , , , 
"IMPLANTABLE DEVICES","J", , , , , ,"59", ,"484769", , , , , , , , , , 
"IMPLANTABLE DEVICES","J", , , , , ,"64", ,"43", , , , , , , , , , 
"IMPLANTABLE DEVICES","J", , , , , ,"65", ,"36443", , , , , , , , , , 
"IMPLANTABLE DEVICES","J", , , , , ,"65", ,"1705", , , , , , , , , , 
"IMPLANTABLE DEVICES","J", , , , , ,"68", ,"77701", , , , , , , , , , 
"IMPLANTABLE DEVICES","J", , , , , ,"71", ,"16370836", , , , , , , , , , 
"IMPLANTABLE DEVICES","J", , , , , ,"71", ,"863243", , , , , , , , , , 
"IMPLANTABLE DEVICES","J", , , , , ,"90", ,"2670005", , , , , , , , , , 
"IMPLANTABLE DEVICES","J", , , , , ,"90", ,"33", , , , , , , , , , 
"IMPLANTABLE DEVICES","J", , , , , ,"90", ,"1810", , , , , , , , , , 
"IMPLANTABLE DEVICES","J", , , , , ,"90", ,"14158", , , , , , , , , , 
"IMPLANTABLE DEVICES","J", , , , , ,"90", ,"659", , , , , , , , , , 
"IMPLANTABLE DEVICES","J", , , , , ,"91", ,"15342", , , , , , , , , , 
"IMPLANTABLE DEVICES","J", , , , , ,"91", ,"206", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 562588"," Report A6000K0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[562588] Report(A6000K0[00000])","Entity[562588] Report(A6000K0[00100])", ,"Entity[562588] Report(A6000K0[00300])", ,"Entity[562588] Report(A6000K0[00500])", ,"Entity[562588] Report(A6000K0[00700])", ,"Entity[562588] Report(A6000K0[00900])", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", ,"73", ,"58458645", ,"5", ,"1652842", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", ,"73", ,"3300876", ,"14", ,"19992", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", ,"73", ,"6053132", ,"15", ,"21960269", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", ,"191", ,"281", ,"15", ,"3053768", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", , , , , ,"15", ,"6053131", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", , , , , ,"30", ,"95", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", , , , , ,"31", ,"379", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", , , , , ,"40", ,"104", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", , , , , ,"50", ,"322506", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", , , , , ,"50", ,"1515", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", , , , , ,"53", ,"592349", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", , , , , ,"53", ,"2835", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", , , , , ,"54", ,"448251", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", , , , , ,"54", ,"134", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", , , , , ,"55", ,"4673", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", , , , , ,"56", ,"1353966", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", , , , , ,"56", ,"21902", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", , , , , ,"57", ,"1568", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", , , , , ,"58", ,"1887", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", , , , , ,"59", ,"540633", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", , , , , ,"60", ,"2270", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", , , , , ,"60", ,"14479", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", , , , , ,"60", ,"1043", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", , , , , ,"63", ,"154688", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", , , , , ,"64", ,"11392356", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", , , , , ,"65", ,"22648", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", , , , , ,"65", ,"8085", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", , , , , ,"66", ,"30", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", , , , , ,"67", ,"5", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", , , , , ,"70", ,"342791", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", , , , , ,"71", ,"2207", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", , , , , ,"74", ,"1499456", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", , , , , ,"90", ,"8144055", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", , , , , ,"90", ,"769136", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", , , , , ,"90", ,"83219", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", , , , , ,"90", ,"242079", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", , , , , ,"90", ,"478380", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", , , , , ,"90", ,"77940", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", , , , , ,"90", ,"4178386", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", , , , , ,"90", ,"91394", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", , , , , ,"90", ,"226979", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", , , , , ,"90", ,"52208", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", , , , , ,"90", ,"49553", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", , , , , ,"90", ,"381421", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", , , , , ,"90", ,"10496", , , , , , , , , , 
"DRUGS CHARGED TO PATIENTS","K", , , , , ,"90", ,"62933", , , , , , , , , , 
