"Line(06000)","PRE-TRANSPLANT COORDINATOR","Y", ,"110", ,"22591", ,"112", ,"22591"
"Line(06100)","PRE-TRANSPLANT COORDINATOR","Y", ,"110", ,"7724", ,"194", ,"7724"
"Line(06200)","PRE-TRANSPLANT COORDINATOR","Y", ,"110", ,"1687", ,"194", ,"1687"
"Line(06300)","PRE-TRANSPLANT COORDINATOR","Y", ,"110", ,"12243", ,"60", ,"12243"
"Line(06400)","PRE-TRANSPLANT COORDINATOR","Y", ,"110", ,"3377", ,"106", ,"3377"
"Line(06500)","PRE-TRANSPLANT COORDINATOR","Y", ,"110", ,"21194", ,"112", ,"21194"
"Line(06600)","PRE-TRANSPLANT COORDINATOR","Y", ,"110", ,"9848", ,"194", ,"9848"
"Line(06700)","PRE-TRANSPLANT COORDINATOR","Y", ,"110", ,"2358", ,"194", ,"2358"
"Line(06800)","PRE-TRANSPLANT COORDINATOR","Y", ,"110", ,"23051", ,"60", ,"23051"
"Line(06900)","PRE-TRANSPLANT COORDINATOR","Y", ,"106", ,"8398", ,"110", ,"8398"
"Line(07000)","PRE-TRANSPLANT COORDINATOR","Y", ,"105", ,"391500", ,"22", ,"391500"
"Line(07100)","PRE-TRANSPLANT COORDINATOR","Y", ,"106", ,"12810", ,"22", ,"12810"
"Line(07200)","PRE-TRANSPLANT COORDINATOR","Y", ,"107", ,"413198", ,"22", ,"413198"
"Line(07300)","PRE-TRANSPLANT COORDINATOR","Y", ,"108", ,"27462", ,"22", ,"27462"
"Line(07400)","PRE-TRANSPLANT COORDINATOR","Y", ,"109", ,"5807", ,"22", ,"5807"
"Line(07500)","PRE-TRANSPLANT COORDINATOR","Y", ,"110", ,"7487", ,"22", ,"7487"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A600AA0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A600AA0)","Entity[563706] Report(A600AA0[00000])","Entity[563706] Report(A600AA0[00100])", ,"Entity[563706] Report(A600AA0[00300])", ,"Entity[563706] Report(A600AA0[00500])", ,"Entity[563706] Report(A600AA0[00700])", ,"Entity[563706] Report(A600AA0[00900])"
"Line(00100)","RECLASS NON-APPROVED I&R","AA", ,"100", ,"1992804", ,"21", ,"1992804"
"Line(00200)","RECLASS NON-APPROVED I&R","AA", ,"100", ,"458345", ,"21", ,"458345"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A600FF0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A600FF0)","Entity[563706] Report(A600FF0[00000])","Entity[563706] Report(A600FF0[00100])", ,"Entity[563706] Report(A600FF0[00300])", ,"Entity[563706] Report(A600FF0[00500])", ,"Entity[563706] Report(A600FF0[00700])", ,"Entity[563706] Report(A600FF0[00900])"
"Line(00100)","PHYSICIAN FEES","FF", ,"5", ,"686560", ,"22", ,"686560"
"Line(00200)","PHYSICIAN FEES","FF", ,"18", ,"722297", ,"22", ,"722297"
"Line(00300)","PHYSICIAN FEES","FF", ,"32", ,"1329815", ,"22", ,"1329815"
"Line(00400)","PHYSICIAN FEES","FF", ,"65", ,"23276", ,"22", ,"23276"
"Line(00500)","PHYSICIAN FEES","FF", ,"76", ,"468756", ,"22", ,"468756"
"Line(00600)","PHYSICIAN FEES","FF", ,"76", ,"1177248", ,"22", ,"1177248"
"Line(00700)","PHYSICIAN FEES","FF", ,"90", ,"4405899", ,"22", ,"4405899"
"Line(00800)","PHYSICIAN FEES","FF", ,"90", ,"305376", ,"22", ,"305376"
"Line(00900)","PHYSICIAN FEES","FF", ,"90", ,"755953", ,"22", ,"755953"
"Line(01000)","PHYSICIAN FEES","FF", ,"93", ,"283056", ,"22", ,"283056"
"Line(01100)","PHYSICIAN FEES","FF", ,"55", ,"1618133", ,"191", ,"1618133"
"Line(01200)","PHYSICIAN FEES","FF", ,"91", ,"1665117", ,"22", ,"1665117"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A600GG0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A600GG0)","Entity[563706] Report(A600GG0[00000])","Entity[563706] Report(A600GG0[00100])", ,"Entity[563706] Report(A600GG0[00300])","Entity[563706] Report(A600GG0[00400])","Entity[563706] Report(A600GG0[00500])", ,"Entity[563706] Report(A600GG0[00700])","Entity[563706] Report(A600GG0[00800])","Entity[563706] Report(A600GG0[00900])"
"Line(00100)","OP RENAL IS","GG", ,"74","597279", , ,"76","597279"
"Line(00200)","OP RENAL IS","GG", ,"74", ,"167927", ,"76", ,"167927"
"Line(00300)","OP RENAL IS","GG", ,"74", ,"182433", ,"15", ,"182433"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A600II0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A600II0)","Entity[563706] Report(A600II0[00000])","Entity[563706] Report(A600II0[00100])", ,"Entity[563706] Report(A600II0[00300])", ,"Entity[563706] Report(A600II0[00500])", ,"Entity[563706] Report(A600II0[00700])", ,"Entity[563706] Report(A600II0[00900])"
"Line(00100)","HILL BUILDING","II", ,"192", ,"1330", ,"5", ,"1330"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A600JJ0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A600JJ0)","Entity[563706] Report(A600JJ0[00000])","Entity[563706] Report(A600JJ0[00100])", ,"Entity[563706] Report(A600JJ0[00300])", ,"Entity[563706] Report(A600JJ0[00500])", ,"Entity[563706] Report(A600JJ0[00700])", ,"Entity[563706] Report(A600JJ0[00900])"
"Line(00100)","NON-APPROVED I & R TEACHING COST","JJ", ,"194", ,"473881", ,"22", ,"473881"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A600KK0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A600KK0)","Entity[563706] Report(A600KK0[00000])","Entity[563706] Report(A600KK0[00100])", ,"Entity[563706] Report(A600KK0[00300])","Entity[563706] Report(A600KK0[00400])","Entity[563706] Report(A600KK0[00500])", ,"Entity[563706] Report(A600KK0[00700])","Entity[563706] Report(A600KK0[00800])","Entity[563706] Report(A600KK0[00900])"
"Line(00100)","IMAGING SUPPORT","KK", ,"56","43556", , ,"54","43556"
"Line(00200)","IMAGING SUPPORT","KK", ,"56", ,"3375", ,"54", ,"3375"
"Line(00300)","IMAGING SUPPORT","KK", ,"57","565697", , ,"54","565697"
"Line(00400)","IMAGING SUPPORT","KK", ,"57", ,"43827", ,"54", ,"43827"
"Line(00500)","IMAGING SUPPORT","KK", ,"54","66950", , ,"54","66950"
"Line(00600)","IMAGING SUPPORT","KK", ,"54", ,"5187", ,"54", ,"5187"
"Line(00700)","IMAGING SUPPORT","KK", ,"58","337376", , ,"54","337376"
"Line(00800)","IMAGING SUPPORT","KK", ,"58", ,"26138", ,"54", ,"26138"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A600LL0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A600LL0)","Entity[563706] Report(A600LL0[00000])","Entity[563706] Report(A600LL0[00100])", ,"Entity[563706] Report(A600LL0[00300])", ,"Entity[563706] Report(A600LL0[00500])", ,"Entity[563706] Report(A600LL0[00700])", ,"Entity[563706] Report(A600LL0[00900])","Entity[563706] Report(A600LL0[01000])"
"Line(00100)","SPORTS MED DEPREC","LL", ,"55", ,"3253", ,"1", ,"3253","9"
"Line(00200)","SPORTS MED DEPREC","LL", ,"55", ,"14", ,"2", ,"14","9"
"Line(00300)","SPORTS MED DEPREC","LL", ,"58", ,"17077", ,"1", ,"17077","9"
"Line(00400)","SPORTS MED DEPREC","LL", ,"58", ,"74", ,"2", ,"74","9"
"Line(00500)","SPORTS MED DEPREC","LL", ,"194", ,"1514149", ,"1", ,"1514149","9"
"Line(00600)","SPORTS MED DEPREC","LL", ,"55", ,"5962", ,"194", ,"5962"
"Line(00700)","SPORTS MED DEPREC","LL", ,"58", ,"31302", ,"194", ,"31302"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A600NN0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A600NN0)","Entity[563706] Report(A600NN0[00000])","Entity[563706] Report(A600NN0[00100])", ,"Entity[563706] Report(A600NN0[00300])", ,"Entity[563706] Report(A600NN0[00500])", ,"Entity[563706] Report(A600NN0[00700])", ,"Entity[563706] Report(A600NN0[00900])"
"Line(00100)","ORGAN ACQUISITION CENTER","NN", ,"105", ,"3773", ,"112", ,"3773"
"Line(00200)","ORGAN ACQUISITION CENTER","NN", ,"107", ,"2429", ,"112", ,"2429"
"Line(00300)","ORGAN ACQUISITION CENTER","NN", ,"109", ,"363", ,"112", ,"363"
"Line(00400)","ORGAN ACQUISITION CENTER","NN", ,"110", ,"2669", ,"112", ,"2669"
"Line(00500)","ORGAN ACQUISITION CENTER","NN", ,"106", ,"849", ,"112", ,"849"
"Line(00600)","ORGAN ACQUISITION CENTER","NN", ,"108", ,"2302", ,"112", ,"2302"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A600OO0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A600OO0)","Entity[563706] Report(A600OO0[00000])","Entity[563706] Report(A600OO0[00100])", ,"Entity[563706] Report(A600OO0[00300])","Entity[563706] Report(A600OO0[00400])","Entity[563706] Report(A600OO0[00500])", ,"Entity[563706] Report(A600OO0[00700])","Entity[563706] Report(A600OO0[00800])","Entity[563706] Report(A600OO0[00900])"
"Line(00100)","RECLASS SPF TO APPROPRIATE LINE","OO", ,"30","225987", , ,"5","225987"
"Line(00200)","RECLASS SPF TO APPROPRIATE LINE","OO", ,"30", ,"64797", ,"5", ,"64797"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A600PP0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A600PP0)","Entity[563706] Report(A600PP0[00000])","Entity[563706] Report(A600PP0[00100])", ,"Entity[563706] Report(A600PP0[00300])","Entity[563706] Report(A600PP0[00400])","Entity[563706] Report(A600PP0[00500])", ,"Entity[563706] Report(A600PP0[00700])","Entity[563706] Report(A600PP0[00800])","Entity[563706] Report(A600PP0[00900])"
"Line(00100)","OUTPATIENT COST","PP", ,"69","18947", , ,"30","18947"
"Line(00200)","OUTPATIENT COST","PP", ,"69", ,"1910", ,"30", ,"1910"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A600QQ0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A600QQ0)","Entity[563706] Report(A600QQ0[00000])","Entity[563706] Report(A600QQ0[00100])", ,"Entity[563706] Report(A600QQ0[00300])","Entity[563706] Report(A600QQ0[00400])","Entity[563706] Report(A600QQ0[00500])", ,"Entity[563706] Report(A600QQ0[00700])","Entity[563706] Report(A600QQ0[00800])","Entity[563706] Report(A600QQ0[00900])"
"Line(00100)","PUH RADIOLOGY SUPPORT","QQ", ,"54","100986", , ,"54","100986"
"Line(00200)","PUH RADIOLOGY SUPPORT","QQ", ,"54", ,"13308", ,"54", ,"13308"
"Line(00300)","PUH RADIOLOGY SUPPORT","QQ", ,"56","118419", , ,"54","118419"
"Line(00400)","PUH RADIOLOGY SUPPORT","QQ", ,"56", ,"15606", ,"54", ,"15606"
"Line(00500)","PUH RADIOLOGY SUPPORT","QQ", ,"56","116601", , ,"54","116601"
"Line(00600)","PUH RADIOLOGY SUPPORT","QQ", ,"56", ,"15366", ,"54", ,"15366"
"Line(00700)","PUH RADIOLOGY SUPPORT","QQ", ,"57","865918", , ,"54","865918"
"Line(00800)","PUH RADIOLOGY SUPPORT","QQ", ,"57", ,"114114", ,"54", ,"114114"
"Line(00900)","PUH RADIOLOGY SUPPORT","QQ", ,"58","498673", , ,"54","498673"
"Line(01000)","PUH RADIOLOGY SUPPORT","QQ", ,"58", ,"65717", ,"54", ,"65717"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A600WB0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A600WB0)","Entity[563706] Report(A600WB0[00000])","Entity[563706] Report(A600WB0[00100])", ,"Entity[563706] Report(A600WB0[00300])","Entity[563706] Report(A600WB0[00400])","Entity[563706] Report(A600WB0[00500])", ,"Entity[563706] Report(A600WB0[00700])","Entity[563706] Report(A600WB0[00800])","Entity[563706] Report(A600WB0[00900])"
"Line(00100)","INTERNAL MEDICINE","WB", ,"40","1122098", , ,"69","1122098"
"Line(00200)","INTERNAL MEDICINE","WB", ,"40", ,"548713", ,"69", ,"548713"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A600WC0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A600WC0)","Entity[563706] Report(A600WC0[00000])","Entity[563706] Report(A600WC0[00100])", ,"Entity[563706] Report(A600WC0[00300])", ,"Entity[563706] Report(A600WC0[00500])", ,"Entity[563706] Report(A600WC0[00700])", ,"Entity[563706] Report(A600WC0[00900])"
"Line(00100)","WPIC INTERNS & RESIDENTS","WC", ,"21", ,"1464", ,"5", ,"1464"
"Line(00200)","WPIC INTERNS & RESIDENTS","WC", ,"21", ,"967", ,"15", ,"967"
"Line(00300)","WPIC INTERNS & RESIDENTS","WC", ,"21", ,"5134669", ,"22", ,"5134669"
"Line(00400)","WPIC INTERNS & RESIDENTS","WC", ,"21", ,"227841", ,"69", ,"227841"
"Line(00500)","WPIC INTERNS & RESIDENTS","WC", ,"21", ,"478064", ,"76", ,"478064"
"Line(00600)","WPIC INTERNS & RESIDENTS","WC", ,"21", ,"76410", ,"76", ,"76410"
"Line(00700)","WPIC INTERNS & RESIDENTS","WC", ,"21", ,"15837", ,"76", ,"15837"
"Line(00800)","WPIC INTERNS & RESIDENTS","WC", ,"21", ,"20829", ,"76", ,"20829"
"Line(00900)","WPIC INTERNS & RESIDENTS","WC", ,"21", ,"22259", ,"90", ,"22259"
"Line(01000)","WPIC INTERNS & RESIDENTS","WC", ,"21", ,"853", ,"90", ,"853"
"Line(01100)","WPIC INTERNS & RESIDENTS","WC", ,"21", ,"1811", ,"194", ,"1811"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A600WE0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A600WE0)","Entity[563706] Report(A600WE0[00000])","Entity[563706] Report(A600WE0[00100])", ,"Entity[563706] Report(A600WE0[00300])","Entity[563706] Report(A600WE0[00400])", , ,"Entity[563706] Report(A600WE0[00700])","Entity[563706] Report(A600WE0[00800])"
"Line(00100)","SOCIAL WORKERS RECLASS","WE", ,"194","1817", , ,"76","1817"
"Line(00200)","SOCIAL WORKERS RECLASS","WE", ,"194","1623", , ,"76","1623"
"Line(00300)","SOCIAL WORKERS RECLASS","WE", ,"194","31", , ,"76","31"
"Line(00400)","SOCIAL WORKERS RECLASS","WE", ,"194","800", , ,"90","800"
"Line(00500)","SOCIAL WORKERS RECLASS","WE", ,"194","338", , ,"194","338"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A600WF0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A600WF0)","Entity[563706] Report(A600WF0[00000])","Entity[563706] Report(A600WF0[00100])", ,"Entity[563706] Report(A600WF0[00300])", ,"Entity[563706] Report(A600WF0[00500])", ,"Entity[563706] Report(A600WF0[00700])", ,"Entity[563706] Report(A600WF0[00900])"
"Line(00100)","LAUNDRY RECLASS","WF", ,"40", ,"210920", ,"9", ,"210920"
"Line(00200)","LAUNDRY RECLASS","WF", ,"76", ,"5279", ,"9", ,"5279"
"Line(00300)","LAUNDRY RECLASS","WF", ,"70", ,"536", ,"9", ,"536"
"Line(00400)","LAUNDRY RECLASS","WF", ,"76", ,"14516", ,"9", ,"14516"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A600WG0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A600WG0)","Entity[563706] Report(A600WG0[00000])","Entity[563706] Report(A600WG0[00100])", ,"Entity[563706] Report(A600WG0[00300])", ,"Entity[563706] Report(A600WG0[00500])", ,"Entity[563706] Report(A600WG0[00700])", ,"Entity[563706] Report(A600WG0[00900])"
"Line(00100)","OUTSIDE BUILDING RECLASS","WG", ,"5", ,"22128", ,"7", ,"22128"
"Line(00200)","OUTSIDE BUILDING RECLASS","WG", ,"5", ,"232154", ,"7", ,"232154"
"Line(00300)","OUTSIDE BUILDING RECLASS","WG", ,"11", ,"23760", ,"7", ,"23760"
"Line(00400)","OUTSIDE BUILDING RECLASS","WG", ,"15", ,"32163", ,"7", ,"32163"
"Line(00500)","OUTSIDE BUILDING RECLASS","WG", ,"69", ,"56840", ,"7", ,"56840"
"Line(00600)","OUTSIDE BUILDING RECLASS","WG", ,"76", ,"158023", ,"7", ,"158023"
"Line(00700)","OUTSIDE BUILDING RECLASS","WG", ,"76", ,"174560", ,"7", ,"174560"
"Line(00800)","OUTSIDE BUILDING RECLASS","WG", ,"76", ,"79143", ,"7", ,"79143"
"Line(00900)","OUTSIDE BUILDING RECLASS","WG", ,"76", ,"180832", ,"7", ,"180832"
"Line(01000)","OUTSIDE BUILDING RECLASS","WG", ,"76", ,"188882", ,"7", ,"188882"
"Line(01100)","OUTSIDE BUILDING RECLASS","WG", ,"90", ,"355136", ,"7", ,"355136"
"Line(01200)","OUTSIDE BUILDING RECLASS","WG", ,"90", ,"39344", ,"7", ,"39344"
"Line(01300)","OUTSIDE BUILDING RECLASS","WG", ,"90", ,"74678", ,"7", ,"74678"
"Line(01400)","OUTSIDE BUILDING RECLASS","WG", ,"90", ,"1021066", ,"7", ,"1021066"
"Line(01500)","OUTSIDE BUILDING RECLASS","WG", ,"90", ,"439139", ,"7", ,"439139"
"Line(01600)","OUTSIDE BUILDING RECLASS","WG", ,"90", ,"168568", ,"7", ,"168568"
"Line(01700)","OUTSIDE BUILDING RECLASS","WG", ,"191", ,"1616378", ,"7", ,"1616378"
"Line(01800)","OUTSIDE BUILDING RECLASS","WG", ,"192", ,"8258", ,"7", ,"8258"
"Line(01900)","OUTSIDE BUILDING RECLASS","WG", ,"194", ,"150554", ,"7", ,"150554"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A600WH0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A600WH0)","Entity[563706] Report(A600WH0[00000])","Entity[563706] Report(A600WH0[00100])", ,"Entity[563706] Report(A600WH0[00300])","Entity[563706] Report(A600WH0[00400])","Entity[563706] Report(A600WH0[00500])", ,"Entity[563706] Report(A600WH0[00700])","Entity[563706] Report(A600WH0[00800])","Entity[563706] Report(A600WH0[00900])"
"Line(00100)","SAFETY RECLASS","WH", ,"40","1325419", , ,"7","1325419"
"Line(00200)","SAFETY RECLASS","WH", ,"40", ,"843746", ,"7", ,"843746"
"Line(00300)","SAFETY RECLASS","WH", ,"76","43683", , ,"7","43683"
"Line(00400)","SAFETY RECLASS","WH", ,"76", ,"27808", ,"7", ,"27808"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A600WI0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A600WI0)","Entity[563706] Report(A600WI0[00000])","Entity[563706] Report(A600WI0[00100])", ,"Entity[563706] Report(A600WI0[00300])","Entity[563706] Report(A600WI0[00400])", , ,"Entity[563706] Report(A600WI0[00700])","Entity[563706] Report(A600WI0[00800])"
"Line(00100)","PSYCH ANCILLARY RECLASS","WI", ,"76","190963", , ,"40","190963"
"Line(00200)","PSYCH ANCILLARY RECLASS","WI", ,"76","95813", , ,"40","95813"
"Line(00300)","PSYCH ANCILLARY RECLASS","WI", ,"76","12738", , ,"40","12738"
"Line(00400)","PSYCH ANCILLARY RECLASS","WI", ,"76","64048", , ,"40","64048"
"Line(00500)","PSYCH ANCILLARY RECLASS","WI", ,"76","98969", , ,"40","98969"
"Line(00600)","PSYCH ANCILLARY RECLASS","WI", ,"76","88261", , ,"40","88261"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
"Schema: HCRIS TABLE: STRONG_DATA_2013","----------"," Entity 563706"," Report A600WJ0 ","-------------","-------------","-----------",""
"","","CODE","","","","","","","","","A-7"
"","EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref."
"","","1","2","3","4","5","6","7","8","9","10"
"Entity[563706] Report(A600WJ0)","Entity[563706] Report(A600WJ0[00000])","Entity[563706] Report(A600WJ0[00100])", ,"Entity[563706] Report(A600WJ0[00300])", ,"Entity[563706] Report(A600WJ0[00500])", ,"Entity[563706] Report(A600WJ0[00700])", ,"Entity[563706] Report(A600WJ0[00900])"
"Line(00100)","DRUGS CHARGED TO PATIENTS","WJ", ,"73", ,"1828378", ,"15", ,"1828378"
"----------------","----------------","----------------","----------------","----------------","----------------"
"----------------","----------------","----------------","----------------","----------------","----------------"
 , , , , , 
 , , , , , 
