 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report A6000L0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572851] Report(A6000L0[00000])","Entity[572851] Report(A6000L0[00100])", ,"Entity[572851] Report(A6000L0[00300])", ,"Entity[572851] Report(A6000L0[00500])", ,"Entity[572851] Report(A6000L0[00700])", ,"Entity[572851] Report(A6000L0[00900])", , , , , , , , , , 
"FILE 613 MEDICAL SPECIALIST FEES","L", ,"22", ,"5135", ,"5", ,"5135", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report A6000M0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572851] Report(A6000M0[00000])","Entity[572851] Report(A6000M0[00100])", ,"Entity[572851] Report(A6000M0[00300])", ,"Entity[572851] Report(A6000M0[00500])", ,"Entity[572851] Report(A6000M0[00700])", ,"Entity[572851] Report(A6000M0[00900])","Entity[572851] Report(A6000M0[01000])", , , , , , , , , 
"INSTITUTIONAL SERVICES","M", ,"1", ,"24068369", ,"5", ,"57988454","9", , , , , , , , , 
"INSTITUTIONAL SERVICES","M", ,"2", ,"33920085", , , , ,"9", , , , , , , , , 
"INSTITUTIONAL SERVICES","M", ,"1", ,"37478", ,"5", ,"4756576","9", , , , , , , , , 
"INSTITUTIONAL SERVICES","M", ,"2", ,"4719098", , , , ,"9", , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report A6000N0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572851] Report(A6000N0[00000])","Entity[572851] Report(A6000N0[00100])", ,"Entity[572851] Report(A6000N0[00300])","Entity[572851] Report(A6000N0[00400])", , ,"Entity[572851] Report(A6000N0[00700])","Entity[572851] Report(A6000N0[00800])", , , , , , , , , , , 
"FILE 603 PROVIDER BASED PHYSICIANS","N", ,"22","14963834", , ,"5","120", , , , , , , , , , , 
"FILE 603 PROVIDER BASED PHYSICIANS","N", ,"194","2088953", , ,"90","61895", , , , , , , , , , , 
"FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","12508", , , , , , , , , , , 
"FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","335497", , , , , , , , , , , 
"FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","235158", , , , , , , , , , , 
"FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","10500", , , , , , , , , , , 
"FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","395854", , , , , , , , , , , 
"FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","149263", , , , , , , , , , , 
"FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"91","2524519", , , , , , , , , , , 
"FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","897249", , , , , , , , , , , 
"FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","1671278", , , , , , , , , , , 
"FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"31","559034", , , , , , , , , , , 
"FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","107448", , , , , , , , , , , 
"FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","723089", , , , , , , , , , , 
"FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","375923", , , , , , , , , , , 
"FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"91","1962", , , , , , , , , , , 
"FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","908270", , , , , , , , , , , 
"FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","214280", , , , , , , , , , , 
"FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","87784", , , , , , , , , , , 
"FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","251355", , , , , , , , , , , 
"FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"31","326114", , , , , , , , , , , 
"FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"31","35178", , , , , , , , , , , 
"FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","207071", , , , , , , , , , , 
"FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","271716", , , , , , , , , , , 
"FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","289331", , , , , , , , , , , 
"FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"192","73394", , , , , , , , , , , 
"FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"192","148", , , , , , , , , , , 
"FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"192","6223", , , , , , , , , , , 
"FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","435872", , , , , , , , , , , 
"FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","424974", , , , , , , , , , , 
"FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"50","4643", , , , , , , , , , , 
"FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","76167", , , , , , , , , , , 
"FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"30","211977", , , , , , , , , , , 
"FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"34","347279", , , , , , , , , , , 
"FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","164671", , , , , , , , , , , 
"FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","103764", , , , , , , , , , , 
"FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","105607", , , , , , , , , , , 
"FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","1741815", , , , , , , , , , , 
"FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","85611", , , , , , , , , , , 
"FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"192","276855", , , , , , , , , , , 
"FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"90","252438", , , , , , , , , , , 
"FILE 603 PROVIDER BASED PHYSICIANS","N", , , , , ,"22","2088953", , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report A6000O0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572851] Report(A6000O0[00000])","Entity[572851] Report(A6000O0[00100])", ,"Entity[572851] Report(A6000O0[00300])", ,"Entity[572851] Report(A6000O0[00500])", ,"Entity[572851] Report(A6000O0[00700])", ,"Entity[572851] Report(A6000O0[00900])", , , , , , , , , , 
"ANESTHESIA CONTRACT SERVICES","O", ,"22", ,"6478", ,"23", ,"539187", , , , , , , , , , 
"ANESTHESIA CONTRACT SERVICES","O", ,"53", ,"532709", , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report A6000P0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572851] Report(A6000P0[00000])","Entity[572851] Report(A6000P0[00100])", ,"Entity[572851] Report(A6000P0[00300])","Entity[572851] Report(A6000P0[00400])", , ,"Entity[572851] Report(A6000P0[00700])","Entity[572851] Report(A6000P0[00800])", , , , , , , , , , , 
"FILE 823 MED LAB SCIENCE","P", ,"23","97893", , ,"50","391", , , , , , , , , , , 
"FILE 823 MED LAB SCIENCE","P", , , , , ,"59","44", , , , , , , , , , , 
"FILE 823 MED LAB SCIENCE","P", , , , , ,"60","96125", , , , , , , , , , , 
"FILE 823 MED LAB SCIENCE","P", , , , , ,"60","1092", , , , , , , , , , , 
"FILE 823 MED LAB SCIENCE","P", , , , , ,"65","105", , , , , , , , , , , 
"FILE 823 MED LAB SCIENCE","P", , , , , ,"74","136", , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report A6000Q0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572851] Report(A6000Q0[00000])","Entity[572851] Report(A6000Q0[00100])", ,"Entity[572851] Report(A6000Q0[00300])", ,"Entity[572851] Report(A6000Q0[00500])", ,"Entity[572851] Report(A6000Q0[00700])", ,"Entity[572851] Report(A6000Q0[00900])", , , , , , , , , , 
"FILE 404 PATHOLOGY","Q", ,"22", ,"100800", ,"60", ,"100800", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report A6000R0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572851] Report(A6000R0[00000])","Entity[572851] Report(A6000R0[00100])", ,"Entity[572851] Report(A6000R0[00300])", ,"Entity[572851] Report(A6000R0[00500])", ,"Entity[572851] Report(A6000R0[00700])", ,"Entity[572851] Report(A6000R0[00900])", , , , , , , , , , 
"FILE 405 RADIATION THERAPY","R", ,"23", ,"1795", ,"55", ,"1795", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report A6000S0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572851] Report(A6000S0[00000])","Entity[572851] Report(A6000S0[00100])", ,"Entity[572851] Report(A6000S0[00300])","Entity[572851] Report(A6000S0[00400])", , ,"Entity[572851] Report(A6000S0[00700])","Entity[572851] Report(A6000S0[00800])", , , , , , , , , , , 
"FILE 828 PHARMACY RESIDENCY PRGM","S", ,"23","50085", , ,"15","50085", , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report A6000T0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572851] Report(A6000T0[00000])","Entity[572851] Report(A6000T0[00100])", ,"Entity[572851] Report(A6000T0[00300])","Entity[572851] Report(A6000T0[00400])", , ,"Entity[572851] Report(A6000T0[00700])","Entity[572851] Report(A6000T0[00800])", , , , , , , , , , , 
"FLE 824  XRAY SCHOOL","T", ,"23","71404", , ,"54","12434", , , , , , , , , , , 
"FLE 824  XRAY SCHOOL","T", , , , , ,"55","58970", , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report A6000U0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572851] Report(A6000U0[00000])","Entity[572851] Report(A6000U0[00100])", ,"Entity[572851] Report(A6000U0[00300])","Entity[572851] Report(A6000U0[00400])", , ,"Entity[572851] Report(A6000U0[00700])","Entity[572851] Report(A6000U0[00800])", , , , , , , , , , , 
"FILE 821 NURSING SCHOOL","U", ,"20","532186", , ,"30","158675", , , , , , , , , , , 
"FILE 821 NURSING SCHOOL","U", , , , , ,"31","28875", , , , , , , , , , , 
"FILE 821 NURSING SCHOOL","U", , , , , ,"31","26571", , , , , , , , , , , 
"FILE 821 NURSING SCHOOL","U", , , , , ,"32","15923", , , , , , , , , , , 
"FILE 821 NURSING SCHOOL","U", , , , , ,"34","5262", , , , , , , , , , , 
"FILE 821 NURSING SCHOOL","U", , , , , ,"34","38837", , , , , , , , , , , 
"FILE 821 NURSING SCHOOL","U", , , , , ,"34","23617", , , , , , , , , , , 
"FILE 821 NURSING SCHOOL","U", , , , , ,"34","13729", , , , , , , , , , , 
"FILE 821 NURSING SCHOOL","U", , , , , ,"34","6727", , , , , , , , , , , 
"FILE 821 NURSING SCHOOL","U", , , , , ,"34","24929", , , , , , , , , , , 
"FILE 821 NURSING SCHOOL","U", , , , , ,"40","4081", , , , , , , , , , , 
"FILE 821 NURSING SCHOOL","U", , , , , ,"41","3198", , , , , , , , , , , 
"FILE 821 NURSING SCHOOL","U", , , , , ,"50","24055", , , , , , , , , , , 
"FILE 821 NURSING SCHOOL","U", , , , , ,"51","5082", , , , , , , , , , , 
"FILE 821 NURSING SCHOOL","U", , , , , ,"52","86456", , , , , , , , , , , 
"FILE 821 NURSING SCHOOL","U", , , , , ,"75","4102", , , , , , , , , , , 
"FILE 821 NURSING SCHOOL","U", , , , , ,"90","12573", , , , , , , , , , , 
"FILE 821 NURSING SCHOOL","U", , , , , ,"91","31077", , , , , , , , , , , 
"FILE 821 NURSING SCHOOL","U", , , , , ,"91","1156", , , , , , , , , , , 
"FILE 821 NURSING SCHOOL","U", , , , , ,"92","17261", , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report A6000V0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572851] Report(A6000V0[00000])","Entity[572851] Report(A6000V0[00100])", ,"Entity[572851] Report(A6000V0[00300])","Entity[572851] Report(A6000V0[00400])", , ,"Entity[572851] Report(A6000V0[00700])","Entity[572851] Report(A6000V0[00800])", , , , , , , , , , , 
"FILE 827 SURGICAL SCHOOL","V", ,"23","64024", , ,"50","58368", , , , , , , , , , , 
"FILE 827 SURGICAL SCHOOL","V", , , , , ,"75","4374", , , , , , , , , , , 
"FILE 827 SURGICAL SCHOOL","V", , , , , ,"52","1282", , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report A6000X0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572851] Report(A6000X0[00000])","Entity[572851] Report(A6000X0[00100])", ,"Entity[572851] Report(A6000X0[00300])","Entity[572851] Report(A6000X0[00400])","Entity[572851] Report(A6000X0[00500])", ,"Entity[572851] Report(A6000X0[00700])","Entity[572851] Report(A6000X0[00800])","Entity[572851] Report(A6000X0[00900])", , , , , , , , , , 
"FILE 420 NURSERY RECLASS","X", ,"43","3011899","238531", ,"30","3011899","238531", , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report A6000Y0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572851] Report(A6000Y0[00000])","Entity[572851] Report(A6000Y0[00100])", ,"Entity[572851] Report(A6000Y0[00300])", ,"Entity[572851] Report(A6000Y0[00500])", ,"Entity[572851] Report(A6000Y0[00700])", ,"Entity[572851] Report(A6000Y0[00900])", , , , , , , , , , 
"FILE 421 STUDENT HOUSING","Y", ,"20", ,"65407", ,"5", ,"218009", , , , , , , , , , 
"FILE 421 STUDENT HOUSING","Y", ,"22", ,"57886", , , , , , , , , , , , , , 
"FILE 421 STUDENT HOUSING","Y", ,"23", ,"7043", , , , , , , , , , , , , , 
"FILE 421 STUDENT HOUSING","Y", ,"23", ,"67051", , , , , , , , , , , , , , 
"FILE 421 STUDENT HOUSING","Y", ,"23", ,"20622", , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report A6000Z0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572851] Report(A6000Z0[00000])","Entity[572851] Report(A6000Z0[00100])", ,"Entity[572851] Report(A6000Z0[00300])","Entity[572851] Report(A6000Z0[00400])", , ,"Entity[572851] Report(A6000Z0[00700])","Entity[572851] Report(A6000Z0[00800])", , , , , , , , , , , 
"FILE 605 CRNA","Z", ,"23","739126", , ,"53","739126", , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report A600AA0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572851] Report(A600AA0[00000])","Entity[572851] Report(A600AA0[00100])", ,"Entity[572851] Report(A600AA0[00300])","Entity[572851] Report(A600AA0[00400])", , ,"Entity[572851] Report(A600AA0[00700])","Entity[572851] Report(A600AA0[00800])", , , , , , , , , , , 
"RECLASS PHYS SAL EXCEPTION","AA", ,"30","105895", , ,"5","45733", , , , , , , , , , , 
"RECLASS PHYS SAL EXCEPTION","AA", ,"31","395167", , ,"22","6333970", , , , , , , , , , , 
"RECLASS PHYS SAL EXCEPTION","AA", ,"34","238242", , ,"194","257616", , , , , , , , , , , 
"RECLASS PHYS SAL EXCEPTION","AA", ,"90","25271", , ,"194","1320449", , , , , , , , , , , 
"RECLASS PHYS SAL EXCEPTION","AA", ,"90","443354", , , , , , , , , , , , , , , 
"RECLASS PHYS SAL EXCEPTION","AA", ,"90","353471", , , , , , , , , , , , , , , 
"RECLASS PHYS SAL EXCEPTION","AA", ,"90","3341861", , , , , , , , , , , , , , , 
"RECLASS PHYS SAL EXCEPTION","AA", ,"90","137841", , , , , , , , , , , , , , , 
"RECLASS PHYS SAL EXCEPTION","AA", ,"90","56132", , , , , , , , , , , , , , , 
"RECLASS PHYS SAL EXCEPTION","AA", ,"90","281091", , , , , , , , , , , , , , , 
"RECLASS PHYS SAL EXCEPTION","AA", ,"90","70361", , , , , , , , , , , , , , , 
"RECLASS PHYS SAL EXCEPTION","AA", ,"90","449758", , , , , , , , , , , , , , , 
"RECLASS PHYS SAL EXCEPTION","AA", ,"90","148231", , , , , , , , , , , , , , , 
"RECLASS PHYS SAL EXCEPTION","AA", ,"90","107517", , , , , , , , , , , , , , , 
"RECLASS PHYS SAL EXCEPTION","AA", ,"90","149671", , , , , , , , , , , , , , , 
"RECLASS PHYS SAL EXCEPTION","AA", ,"91","855863", , , , , , , , , , , , , , , 
"RECLASS PHYS SAL EXCEPTION","AA", ,"91","58954", , , , , , , , , , , , , , , 
"RECLASS PHYS SAL EXCEPTION","AA", ,"192","602421", , , , , , , , , , , , , , , 
"RECLASS PHYS SAL EXCEPTION","AA", ,"194","20000", , , , , , , , , , , , , , , 
"RECLASS PHYS SAL EXCEPTION","AA", ,"194","116667", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report A600AB0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572851] Report(A600AB0[00000])","Entity[572851] Report(A600AB0[00100])", ,"Entity[572851] Report(A600AB0[00300])", ,"Entity[572851] Report(A600AB0[00500])", ,"Entity[572851] Report(A600AB0[00700])", ,"Entity[572851] Report(A600AB0[00900])", , , , , , , , , , 
"FILE 406 RADIOLOGY DIAGNOSTICS","AB", ,"22", ,"4698", ,"54", ,"29682", , , , , , , , , , 
"FILE 406 RADIOLOGY DIAGNOSTICS","AB", ,"23", ,"24984", , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report A600AC0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
"Entity[572851] Report(A600AC0[00000])","Entity[572851] Report(A600AC0[00100])", ,"Entity[572851] Report(A600AC0[00300])","Entity[572851] Report(A600AC0[00400])","Entity[572851] Report(A600AC0[00500])", ,"Entity[572851] Report(A600AC0[00700])","Entity[572851] Report(A600AC0[00800])","Entity[572851] Report(A600AC0[00900])", , , , , , , , , , 
"FILE 608 TRANPLANT COST RECLASS","AC", ,"106","245404","352682", ,"105","1522923","2530302", , , , , , , , , , 
"FILE 608 TRANPLANT COST RECLASS","AC", ,"107","563588","1216487", , , , , , , , , , , , , , 
"FILE 608 TRANPLANT COST RECLASS","AC", ,"109","134378","128548", , , , , , , , , , , , , , 
"FILE 608 TRANPLANT COST RECLASS","AC", ,"112","242078","433059", , , , , , , , , , , , , , 
"FILE 608 TRANPLANT COST RECLASS","AC", ,"90","337475","399526", , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
"----------------","----------------","----------------","----------------","----------------", , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
 , , , , , , , , , , , , , , , , , , , 
"----------"," Entity 572851"," Report A600AD0 ","-------------","-------------","-----------","", , , , , , , , , , , , , 
"","CODE","","","","","","","","","A-7", , , , , , , , , 
"EXPLANATION OF RECLASSIFICATION(S)","-1","COST CENTER","LINE #","SALARY","OTHER","COST CENTER","LINE #","SALARY","OTHER","Ref.", , , , , , , , , 
"","1","2","3","4","5","6","7","8","9","10", , , , , , , , , 
